Application ID,Submission Date,Agent,Product,Monthly Commission,Theater,Region,SubRegion,r,p_1,p_2,p_3
0066000001EdZR4,42734.33333,Frederick Saul,IFP,16.88125,Asia Pacific,Thailand,Thailand,1,0.350075118,0.025112677,0.244294178
0066000000wbddA,42945.29167,Livia Twine,MA,5,Asia Pacific,Malaysia,Malaysia,0,0,0.025112677,0
0066000000sA3at,42735.33333,Marcell Rosamond,DT,112.548,EMEA,Central Europe,Central Europe,0,0.014069388,0.015254563,0.0109715
0066000000msbds,42795.33333,Randa Stoneham,MA,147,Asia Pacific,AUS/NZ,AUS/NZ,0,0,0,0
0066000001aOx0o,43039.29167,Genevieve Childress,MS,5,Asia Pacific,AUS/NZ,AUS/NZ,0,0,0,0
0066000001aO8bW,42794.33333,Stephenie Mcelligott,MS,5,Americas,USA,Central,0,0,0.025112677,0
00660000018HVkv,42794.33333,Kym Rothermel,MA,5,Americas,USA,Southeast,0,0,0.025112677,0
0066000001So2lT,42974.29167,Emilio Luczynski,MA,335.528,Asia Pacific,China,China,0,0,0,0
0066000001ME6kT,42794.33333,Stephenie Mcelligott,MS,73.295,Americas,Latin America,Latin America,0,0.020459494,0.015421148,0.015752948
00660000012M4pN,42806.29167,Mathilde Butkovich,IFP,185.6224,EMEA,Middle East,Middle East,0,0.00026085,0,0.000221621
0066000001EaeEO,42613.29167,Tom Brady,MS,5,Americas,USA,Southwest,0,0,0,0
0066000000s8hO5,42780.33333,Michael Jordan,PDP,67.4835,Americas,USA,Southwest,0,0.015433258,0.024634923,0.011891774
00660000018JsEJ,42750.33333,Lorene Ebeling,MA,42.52314,Asia Pacific,China,China,1,0.134009879,0,0.080681199
0066000001aNQYx,42825.29167,Emilio Luczynski,MA,155,Asia Pacific,China,China,0,0,0,0
0066000000dyG9u,43004.29167,Emilio Luczynski,IFP,87.14816,Asia Pacific,China,China,0,0.00976902,0.012169177,0.008185293
0066000001So6JE,42794.33333,Stephenie Mcelligott,MA,5,Americas,USA,Central,0,0,0,0
0066000001SnLlk,42674.29167,Tom Brady,MS,2.5,Americas,USA,Southwest,0,0,0,0
0066000001MEUVr,42794.33333,Kandi Citizen,IFP,5,Americas,USA,Central,0,0,0,0
0066000001EdZRY,42766.33333,Tom Brady,MA,65.4544,Americas,USA,Southwest,0,0.038941458,0.037018452,0.022658
0066000000sA6SX,42709.33333,Mia Hamm,PDP,23.79255,Americas,USA,Southwest,0,0.270777878,0.272224576,0.091303474
0066000000wbaX0,42734.33333,Evelia Biondi,DT,129.3726,Americas,USA,Mountain,0,0.088674146,0.087452697,0.073506686
0066000001SmvkK,42886.29167,Grace Hawley,MA,48.7335,Americas,USA,Southeast,0,0.021226092,0.02212917,0.011530672
0066000001MEnLq,42973.29167,Emilio Luczynski,MA,155,Asia Pacific,China,China,0,0,0,0
0066000000s7BBJ,42885.29167,Mary Lou Retton,MA,755,Americas,USA,Southwest,0,0,0,0
0066000001MEJKC,42947.29167,Tom Brady,MA,155,Americas,USA,Southwest,0,0,0,0
0066000001Ec3my,42794.33333,Merlene Lassen,IFP,5,Americas,Canada,Canada,0,0.017126084,0.019200057,0.014946829
0066000001MF4EX,42794.33333,Darin Pellegren,MS,185.576,Americas,Canada,Canada,0,0.048723279,0.054314233,0.041098932
0066000001MEyyk,42856.29167,Delinda Loving,MS,95,EMEA,Northern Europe,Northern Europe,0,0,0.004070217,0
0066000001aPGop,42794.33333,Tressa Kennamer,DT,73.48392,Asia Pacific,AUS/NZ,AUS/NZ,0,0.269094628,0.278731908,0.151005913
0066000000mrPrz,42855.29167,Serita Silberman,IFP,355,EMEA,Western Europe,Western Europe,0,0.029307061,0.014653531,0.023644474
00660000018I3DJ,42748.33333,Serita Silberman,IFP,555,EMEA,Western Europe,Western Europe,1,0.473781853,0.736890927,0.20006089
0066000001MEnLC,42946.29167,Emilio Luczynski,MA,155,Asia Pacific,China,China,0,0,0.006917051,0
0066000001SqDg1,42792.33333,Noma Keller,MA,155,EMEA,Northern Europe,Northern Europe,0,0.058203238,0.059424898,0.034574775
0066000001MEJKg,42794.33333,Serena Williams,MA,155,EMEA,France,France,0,0,0.000556069,0
0066000001Ea85N,42762.33333,Joetta Lafromboise,IFP,255,Americas,Canada,Canada,0,0.065373961,0.060676738,0.052439695
0066000001SqcJP,42827.29167,Delinda Loving,MS,155,EMEA,Northern Europe,Northern Europe,0,0,0,0
0066000001MGI8d,42718.33333,Merlene Lassen,MA,125.4228,Americas,Canada,Canada,1,0.168044534,0.16160354,0.121263055
0066000001SqDgG,42976.29167,Noma Keller,MA,155,EMEA,Northern Europe,Northern Europe,0,0.03619068,0.045321718,0.027076062
0066000001SpVpi,42823.29167,Boris Leverett,MS,5,Americas,USA,Northeast,0,0,0.736890927,0
0066000001SoZFd,42826.29167,Cathrine Guyette,MS,91.7988,EMEA,Central Europe,Central Europe,0,0.072515469,0.074759691,0.042938222
0066000001MDssO,42794.33333,Mariko Miers,MS,154.1435,Americas,USA,Mountain,0,0.036273587,0.036065118,0.028021234
0066000001SqDgV,42793.33333,Noma Keller,PDP,75,EMEA,Northern Europe,Northern Europe,0,0.028762095,0.018959873,0.014556815
0066000001MEPRH,42794.33333,Tamar Boatner,MS,184.834,Americas,Canada,Canada,0,0.059780075,0.053268226,0.034289558
0066000001SqDgk,42976.29167,Noma Keller,MA,75,EMEA,Northern Europe,Northern Europe,0,0.006884293,0.012334697,0.005325501
0066000000S0HQC,42726.33333,Mariann Hardman,MS,255,EMEA,Northern Europe,Northern Europe,0,0.040797486,0.042225692,0.023652899
0066000001aO7d0,42886.29167,Wilma Rudolph,MA,5,Americas,USA,Southwest,0,0,0.736890927,0
0066000001SnFV9,42788.33333,Mariko Miers,MS,215.646,Americas,USA,Mountain,0,0.047721223,0.050518702,0.032662239
00660000018HMj6,42794.33333,Tom Brady,MS,158,Americas,USA,Southwest,0,0.02679789,0.021217109,0.020315401
0066000001MElbD,42794.33333,Tom Brady,MA,5,Americas,USA,Southwest,0,0,0.009303357,0
0066000000TFUJG,42719.33333,Tressa Kennamer,IFP,5,Asia Pacific,AUS/NZ,AUS/NZ,0,0,0.736890927,0
0066000000wZamF,42734.33333,Mia Hamm,PDP,5,Americas,USA,Southwest,0,0.466122021,0.513681811,0.371430758
0066000001EbToO,42794.33333,Dollie Gracie,MS,58.8225,Americas,USA,Central,0,0.004104624,0.007808302,0.002688208
0066000001SmjWJ,42952.29167,Tom Brady,MA,155,Americas,USA,Southwest,0,0,0.003855703,0
0066000000ZcNsg,42903.29167,Xavier Mangold,IFP,377.4,EMEA,Central Europe,Central Europe,0,0,0,0
0066000001MFl9t,42794.33333,Cassondra Petrick,MA,153.5568,EMEA,Israel,Israel,0,0.05041696,0.057293312,0.02811085
0066000001EZikn,42794.33333,Frederick Saul,MA,152.564,Asia Pacific,Thailand,Thailand,0,0.106632534,0.106273245,0.078015064
0066000001MECSx,42883.29167,Danica Patrick,MA,5,Americas,USA,Southwest,0,0,0,0
0066000000TGAKv,42788.33333,Donte Kiser,MS,55.3445,Americas,USA,Northwest,0,0.006654304,0,0.004581488
0066000001aMrpx,42767.33333,Mia Hamm,PDP,7.44534,Americas,USA,Southwest,1,0.180461959,0.182534681,0.148459025
0066000001aP5ZW,42704.33333,Lillia Bocanegra,MS,5,Americas,Canada,Canada,0,0,0,0
0066000001aNfOV,42822.29167,Arnold Palmer,MA,125,EMEA,Spain and Portugal,Spain and Portugal,0,0.143939243,0.14148461,0.089985788
0066000001EaBdi,42962.29167,Wilma Rudolph,IFP,5,Americas,Canada,Canada,0,0,0.008245152,0
0066000001MDx9i,42794.33333,Serita Silberman,MA,5,EMEA,Western Europe,Western Europe,0,0,0,0
0066000000s7WhO,42794.33333,Tom Brady,MA,255,Americas,USA,Southwest,0,0,0.008130429,0
0066000000mpRKk,42795.33333,Genevieve Childress,MS,259.816,Asia Pacific,AUS/NZ,AUS/NZ,0,0.034525678,0.034483792,0.02353344
00660000018I84r,42877.29167,Michael Jordan,MA,5,Americas,USA,Southwest,0,0,0,0
0066000001aMf1s,42794.33333,Phyliss Works,MA,5,Americas,USA,Central,0,0,0,0
0066000001MDeQA,42733.33333,Marco Dunavant,MA,65,EMEA,Western Europe,Western Europe,0,0.028329799,0.022298223,0.023430991
0066000001aOq9J,42794.33333,Merlene Lassen,MS,5,Americas,Canada,Canada,0,0.069667887,0.071910704,0.050439249
0066000001aMdHR,42855.29167,Tom Brady,MS,5,Americas,USA,Southwest,0,0.113450611,0.112070808,0.074996084
0066000000NqO8J,42842.29167,Randa Stoneham,MS,171.5484,Americas,USA,Northwest,0,0.048130021,0.056712683,0.028222402
0066000001MG0um,42837.29167,Genevieve Childress,MA,15,EMEA,Northern Europe,Northern Europe,0,0.018715167,0.020398955,0.013120594
0066000001MF15w,42759.33333,Serita Silberman,MA,155,EMEA,Western Europe,Western Europe,0,0.05046061,0.045664864,0.040179821
00660000018HEJe,42878.29167,Stephenie Mcelligott,MA,5,Americas,Latin America,Latin America,0,0,0.020398955,0
0066000001SmpIR,42794.33333,Stephenie Mcelligott,MA,5,Americas,USA,Central,0,0,0,0
0066000001MGFkt,42794.33333,Tamar Boatner,IFP,5,Americas,USA,Southeast,0,0,0.020398955,0
0066000001SpvpL,42734.33333,Mary Lou Retton,MA,56,Americas,USA,Southwest,0,0,0.004446966,0
0066000001MDaPZ,42766.33333,Mignon Mcdevitt,MS,121.276,Americas,USA,Mountain,0,0.007516926,0.014346126,0.003904335
0066000000Urxmo,42851.29167,Tressa Kennamer,MS,555,EMEA,France,France,0,0.063641507,0.031820754,0.034195477
0066000001EbfGc,42884.29167,Tamar Boatner,MA,117.5147,Americas,USA,Southeast,0,0.027273611,0.031385068,0.017898626
00660000018IDh6,42794.33333,Tressa Kennamer,MS,87.57654,Asia Pacific,AUS/NZ,AUS/NZ,0,0,0.004206414,0
0066000001SqfXb,42858.29167,Wilma Rudolph,MS,75,Americas,Canada,Canada,0,0.008189064,0.015251754,0.005515904
0066000000ZcqWI,42823.29167,Serita Silberman,MA,134.9375,EMEA,Western Europe,Western Europe,0,0.025761393,0.022937783,0.016110708
0066000001aNgWk,42759.33333,Cassondra Petrick,IFP,145,EMEA,Israel,Israel,0,0,0,0
0066000001Soax9,42709.33333,Noma Keller,MA,57,EMEA,Northern Europe,Northern Europe,1,0.087528898,0.094128571,0.200669845
0066000001Ecbec,42613.29167,Kerri Walsh,MS,5,Americas,USA,Southwest,0,0,0.031820754,0
0066000001MEq1g,42766.33333,Donte Kiser,MA,35.5769,Americas,USA,Northwest,0,0.047934958,0.05883976,0.038658934
00660000012NWcm,42855.29167,Frederick Saul,PDP,48.8763,Asia Pacific,Thailand,Thailand,0,0,0.05883976,0
0066000001EbkEm,42767.33333,Marcie Siegel,MA,65.4544,Asia Pacific,Hong Kong & Taiwan,Hong Kong & Taiwan,0,0.039444282,0.034681937,0.027570487
0066000001SmpIl,43019.29167,Mia Hamm,PDP,5,Americas,USA,Southwest,0,0.054033624,0.061623862,0.030977251
0066000001Ecbem,42735.33333,Donte Kiser,MA,5,Americas,USA,Northwest,0,0,0.05883976,0
0066000001aNfcH,42727.33333,Tom Brady,MS,237.3474,Americas,USA,Southwest,0,0.07392348,0.03696174,0.057834044
0066000000j9kxN,42788.33333,Joetta Lafromboise,IFP,38.78883,Americas,Canada,Canada,0,0,0.03696174,0
00660000018INbo,42803.29167,Tom Brady,IFP,5,Americas,USA,Southwest,0,0,0.002870288,0
0066000001Soaxn,43039.29167,Noma Keller,MA,45,EMEA,Northern Europe,Northern Europe,0,0.029393466,0.030325769,0.018339913
0066000000g1IjJ,42840.29167,Frances Rasnake,IFP,5,EMEA,Italy,Italy,0,0.002924344,0.00302883,0.002308135
0066000001MEzcF,42766.33333,Serita Silberman,MA,55,EMEA,Western Europe,Western Europe,0,0.059673965,0.061668704,0.046789554
0066000000wbdG6,42758.33333,Livia Twine,MA,94.7232,Asia Pacific,Malaysia,Malaysia,0,0.061342002,0.06281636,0.049681834
0066000001Soaxx,42751.33333,Noma Keller,MA,155,EMEA,Northern Europe,Northern Europe,0,0.06300793,0.071955317,0.042155794
0066000001Sn7uK,42762.33333,Stephenie Mcelligott,MS,255,Americas,Latin America,Latin America,0,0.198293826,0.195324366,0.311294716
0066000001SoaxT,42978.29167,Noma Keller,MA,45,EMEA,Northern Europe,Northern Europe,0,0,0.000979809,0
0066000001aOBpL,42794.33333,Frederick Saul,MA,61.98176,Asia Pacific,Thailand,Thailand,1,0.355825068,0.353016112,0.231054159
0066000000j8gqf,42753.33333,Michael Jordan,MS,74.637,Americas,USA,Southwest,1,0.11804229,0.126350565,0.09285713
0066000000wd5b0,42963.29167,Tressa Kennamer,MA,155,EMEA,France,France,0,0,0.006621902,0
0066000001SoaxY,42704.33333,Tom Brady,MA,5,Americas,USA,Southwest,0,0,0,0
0066000000WmByh,42289.29167,Tom Brady,MA,55,Americas,USA,Southwest,0,0.198321146,0.2183027,0.141167246
0066000000s6jtg,43525.33333,Emilio Luczynski,IFP,88.1952,Asia Pacific,China,China,0,0,0,0
00660000012LREw,42794.33333,Tom Brady,MA,5,Americas,USA,Southwest,0,0,0.2183027,0
0066000001MEA1o,42613.29167,Arnold Palmer,MA,5,EMEA,Spain and Portugal,Spain and Portugal,0,0,0.2183027,0
0066000001MEA1t,42793.33333,Arnold Palmer,MA,155,EMEA,Spain and Portugal,Spain and Portugal,0,0,0,0
0066000000Ut8fv,42855.29167,Tressa Kennamer,MS,162.4542,Asia Pacific,AUS/NZ,AUS/NZ,0,0.012174585,0.002511978,0.007486728
0066000001So9yO,42864.29167,Delinda Loving,MA,55,EMEA,Northern Europe,Northern Europe,0,0.042155599,0.033376168,0.024151914
00660000012MJxW,42794.33333,Anglea Moats,MS,98.14458,Americas,Canada,Canada,0,0.025788999,0.019198971,0.01305323
0066000001Ebjk4,42753.33333,Tom Brady,MA,135,Americas,USA,Southwest,0,0,0.002718242,0
0066000001MEA1y,42613.29167,Arnold Palmer,MA,5,EMEA,Spain and Portugal,Spain and Portugal,0,0,0.00286737,0
0066000001MHJjG,42766.33333,Merlene Lassen,MS,5,Americas,Canada,Canada,0,0.153947196,0.183306848,0.128906973
0066000000WlKGa,42429.33333,Donte Kiser,MS,5,Americas,Canada,Canada,0,0,0.183306848,0
0066000001MEKeZ,42762.33333,Nicolette Wadkins,MS,159.786,Americas,USA,Southeast,0,0.090078494,0.094578013,0.069437218
0066000001Sol9H,42844.29167,Donte Kiser,MS,155,Americas,USA,Northwest,0,0.036611134,0.041729897,0.032894916
0066000001aMvCU,42794.33333,Mignon Mcdevitt,MS,5,Americas,USA,Mountain,1,0,0,0
0066000001EbgOH,42886.29167,Fredricka Liu,MA,99.489,Americas,USA,Northwest,0,0.024766987,0.021793899,0.014264367
0066000001MEKeK,42979.29167,Delinda Loving,MS,78.752,EMEA,Northern Europe,Northern Europe,0,0.004132432,0.001654495,0.002144937
0066000001aOE0t,42792.33333,Xavier Mangold,DT,5,EMEA,Central Europe,Central Europe,0,0.011162799,0.01160979,0.007100318
0066000001Sq9F4,42735.33333,Tom Brady,MS,5,Americas,USA,Southwest,0,0.229741284,0.232665615,0.189967238
0066000001MFWJX,42762.33333,Jimmie Fulford,MS,45.67213,Americas,USA,Northeast,0,0.192409057,0.197867321,0.158232396
0066000000ms9xG,42724.33333,Mariann Hardman,IFP,155,EMEA,Northern Europe,Northern Europe,0,0.045970375,0.047580336,0.023721997
0066000001EZxDO,42766.33333,Raeann Uriarte,MA,35,Americas,Latin America,Latin America,0,0,0.01160979,0
0066000001aNzpj,42815.29167,Tom Brady,MA,155,Americas,USA,Southwest,0,0.036697528,0.039355546,0.031496943
0066000001MFRL5,42794.33333,Augustina Vogan,MS,365.4464,EMEA,Central Europe,Central Europe,0,0.020196048,0.024701827,0.015413928
0066000001aMew9,42794.33333,Stephenie Mcelligott,MA,5,Americas,USA,Central,0,0.180461959,0.172085016,0.104044155
0066000000j8AKK,42708.33333,Mia Hamm,PDP,5,Americas,USA,Southwest,0,0.2909622,0.299251083,0.193318192
0066000000Zc7Tg,42735.33333,Serita Silberman,IFP,5,Americas,USA,Northwest,0,0,0.01160979,0
0066000001SnD2p,42761.33333,Marco Dunavant,MA,155,EMEA,Western Europe,Western Europe,0,0.048508092,0.049123702,0.040213771
0066000001MECtr,42734.33333,Stephenie Mcelligott,MS,132.652,Americas,Latin America,Latin America,0,0.149726781,0.14949083,0.118520615
0066000001aMj8f,42794.33333,Nicolette Wadkins,MS,5,Americas,USA,Southeast,0,0,0,0
0066000001Sn9Ji,42734.33333,Tom Brady,MS,5,Americas,USA,Southwest,0,0,0.01160979,0
0066000000s7d0Z,42674.29167,Kym Rothermel,MS,5,Americas,Latin America,Latin America,0,0,0.01160979,0
0066000001aNItO,42843.29167,Frederick Saul,MS,34.34475,Americas,USA,Central,0,0.009905025,0.0113374,0.007188506
0066000001MGWD5,42813.29167,Frederick Saul,MS,71.346,Americas,USA,Central,0,0.002488175,0.002291994,0.002164497
0066000001Sngt7,42766.33333,Noma Keller,PDP,45,EMEA,Northern Europe,Northern Europe,0,0.14579284,0.141520312,0.119707275
0066000000g0AHC,42823.29167,Marco Dunavant,IFP,119.66,Asia Pacific,Japan,Japan,0,0,0.003918744,0
0066000001aNksj,42863.29167,Carmon Swenson,MS,177.192,Americas,USA,Southeast,0,0.010516413,0.015238802,0.009039726
0066000001MHj67,42886.29167,Fredricka Liu,MA,552.4,Asia Pacific,Japan,Japan,0,0.008847118,0.004271571,0.007099979
0066000000S2d5d,42794.33333,Mignon Mcdevitt,MA,5,Americas,USA,Mountain,0,0,0,0
0066000000ZZrf5,42918.29167,Emilio Luczynski,MA,52.976,Asia Pacific,China,China,0,0,0.005379069,0
0066000000mpZCr,42794.33333,Tressa Kennamer,MS,189.59856,Asia Pacific,AUS/NZ,AUS/NZ,0,0.03007237,0.027927341,0.021647178
00660000018KbZM,43069.33333,Wilma Rudolph,PDP,5,Americas,Canada,Canada,0,0,0.0113374,0
0066000001SnD2B,42916.29167,Frederick Saul,MS,5,Asia Pacific,Thailand,Thailand,0,0,2.18E-05,0
00660000012MPbm,42794.33333,Kym Rothermel,PDP,5,Americas,Latin America,Latin America,0,0,0.0113374,0
0066000001aNXzQ,42794.33333,Mozelle Archambault,MS,67.55518,Americas,USA,Northeast,0,0,0,0
00660000012NKDT,42725.33333,Deborah Landis,MA,155.5136,Americas,USA,Northwest,0,0.425354912,0.41903749,0.127336872
0066000001aPDH7,42794.33333,Mozelle Archambault,MS,5,Americas,USA,Northeast,0,0.219538041,0.230819791,0.158593964
0066000001MDpLf,42886.29167,Tom Brady,MS,5,Americas,USA,Southwest,0,0,0.00403276,0
0066000001MEpXx,42794.33333,Stephenie Mcelligott,MS,5,Americas,USA,Central,0,0,0,0
